Test step : 1/63, Temp Accuracy : 1.0
Test step : 2/63, Temp Accuracy : 0.96875
Test step : 3/63, Temp Accuracy : 1.0
Test step : 4/63, Temp Accuracy : 1.0
Test step : 5/63, Temp Accuracy : 1.0
Test step : 6/63, Temp Accuracy : 0.96875
Test step : 7/63, Temp Accuracy : 0.875
Test step : 8/63, Temp Accuracy : 0.96875
Test step : 9/63, Temp Accuracy : 0.96875
Test step : 10/63, Temp Accuracy : 0.96875
Test step : 11/63, Temp Accuracy : 0.96875
Test step : 12/63, Temp Accuracy : 0.96875
Test step : 13/63, Temp Accuracy : 1.0
Test step : 14/63, Temp Accuracy : 0.96875
Test step : 15/63, Temp Accuracy : 0.96875
Test step : 16/63, Temp Accuracy : 1.0
Test step : 17/63, Temp Accuracy : 0.96875
Test step : 18/63, Temp Accuracy : 1.0
Test step : 19/63, Temp Accuracy : 0.96875
Test step : 20/63, Temp Accuracy : 1.0
Test step : 21/63, Temp Accuracy : 1.0
Test step : 22/63, Temp Accuracy : 0.96875
Test step : 23/63, Temp Accuracy : 0.90625
Test step : 24/63, Temp Accuracy : 1.0
Test step : 25/63, Temp Accuracy : 0.96875
Test step : 26/63, Temp Accuracy : 0.96875
Test step : 27/63, Temp Accuracy : 0.9375
Test step : 28/63, Temp Accuracy : 1.0
Test step : 29/63, Temp Accuracy : 0.9375
Test step : 30/63, Temp Accuracy : 1.0
Test step : 31/63, Temp Accuracy : 0.96875
Test step : 32/63, Temp Accuracy : 0.90625
Test step : 33/63, Temp Accuracy : 0.9375
Test step : 34/63, Temp Accuracy : 0.90625
Test step : 35/63, Temp Accuracy : 0.96875
Test step : 36/63, Temp Accuracy : 0.875
Test step : 37/63, Temp Accuracy : 0.9375
Test step : 38/63, Temp Accuracy : 0.9375
Test step : 39/63, Temp Accuracy : 0.90625
Test step : 40/63, Temp Accuracy : 0.96875
Test step : 41/63, Temp Accuracy : 0.875
Test step : 42/63, Temp Accuracy : 0.875
Test step : 43/63, Temp Accuracy : 0.875
Test step : 44/63, Temp Accuracy : 0.96875
Test step : 45/63, Temp Accuracy : 0.9375
Test step : 46/63, Temp Accuracy : 0.9375
Test step : 47/63, Temp Accuracy : 0.875
Test step : 48/63, Temp Accuracy : 0.90625
Test step : 49/63, Temp Accuracy : 0.9375
Test step : 50/63, Temp Accuracy : 0.9375
Test step : 51/63, Temp Accuracy : 0.90625
Test step : 52/63, Temp Accuracy : 0.9375
Test step : 53/63, Temp Accuracy : 0.875
Test step : 54/63, Temp Accuracy : 0.84375
Test step : 55/63, Temp Accuracy : 0.96875
Test step : 56/63, Temp Accuracy : 0.96875
Test step : 57/63, Temp Accuracy : 0.96875
Test step : 58/63, Temp Accuracy : 1.0
Test step : 59/63, Temp Accuracy : 0.90625
Test step : 60/63, Temp Accuracy : 0.9375
Test step : 61/63, Temp Accuracy : 1.0
Test step : 62/63, Temp Accuracy : 0.90625
Test step : 63/63, Temp Accuracy : 0.875
Total Accuracy : 0.9484126984126984

Process finished with exit code 0
