score,content,date
5,좋아요 만족합니다,2024-11-04
5,편리하고 좋아요,2024-11-04
5,편리합니다,2024-11-04
5,예약이 편해요,2024-11-04
1,숙박시설은 간편히 예약하고 후기도 남길수있어 좋습니다 다만 렌트카는 야놀자에서 쓰지마세요 렌트카 상세에 반납일자도 정확히 안써있는데 무작정 박박우기고 또 렌트카는 후기도 쓸수가 없어서 이렇게 당하시는 분들 많으실듯합니다 제주도 여행때 렌트카 빌려서 반납일자로 고객센터 문의했지만 여전히 바뀐게 없는 고객센터응대. 맨날 기다려달라 알아보고 연락주겠다하고 잠수타는 고객센터 사람들 천지 그래서인지 야놀자 앱자체를 긍정적으로 생각하기 싫어짐. 개선이 필요하다 느끼는데 늘 하는말 부족한부분 개선해서 더나은서비스로 보답하겠다 하지만 늘 말뿐인 야놀자. 삭제하는게 스트레스덜받음,2024-11-04
5,성실히 놀자고app down 함니다굿,2024-11-04
5,좋아요,2024-11-04
5,간편하고 할인받고 좋아요,2024-11-04
5,네이버쿠키 3개잘받았습니다,2024-11-03
5,사용하기. 편해요,2024-11-03
5,아주간단하고 편리해요,2024-11-03
4,경기 시흥시 금화로 44ㅣ4ㄱ경기 경기 시흥시 금화로 444,2024-11-03
5,정보가 정확하고 이용이 편리하네요,2024-11-03
5,다양한 숙박업소 실시간 조회가 좋아요,2024-11-03
5,쉽고 편리한 예약,2024-11-03
5,좋아요,2024-11-03
5,할인해택이 좋아요!,2024-11-02
5,좋음간편하고,2024-11-02
5,편하고 하기쉬워요,2024-11-02
5,좋아요ㅡㅡ,2024-11-02
5,편의 감사합니다.,2024-11-02
5,혜택할인등이 많습니다,2024-11-02
5,알려주는게 많고 정보가 유익함,2024-11-02
5,결제가 편함,2024-11-02
5,좋아요. 계속 사용할 거에요,2024-11-01
1,설치,2024-11-01
5,어디서나 편하게 숙박정보를 제공받고 예약하기 좋다.,2024-11-01
5,간편해요,2024-11-01
5,숙소 예약도 당연히 편한데 고속버스 예매하는 것도 버스 앱보다 편해서 잘 쓰고 있습니다.,2024-11-01
5,편해요,2024-11-01
5,레저티켓도 문화누리카드로 사용가능해서 좋아요 여기는 안되더라고요,2024-11-01
1,알죠?,2024-11-01
5,저렴하고 좋아요,2024-11-01
5,좋아요 정말,2024-11-01
3,쿠폰적용범위 늘려주세요.,2024-11-01
3,업데이트를 최근에 했는지 사용영수증을 다운 받을 수가 없네요. 메일로 보내는 기능도 없어진것 같고. 확인 부탁합니다.,2024-11-01
5,굿,2024-11-01
5,좋음,2024-11-01
1,여기** 야놀자 쓰지말아라.무슨 새벽에 주문했다가 2시간 지나서 취소하려니깐 규정상 1시간 전에만 취소가 된다는 개같은 소리가 어디있냐.그러니 니들이 적자에서 못 벗어나지.쓰레기 같은 앱 삭제 한다. 티메프 처럼 곧 사라질 회사.,2024-11-01
5,굿뜨,2024-10-31
5,할인굿,2024-10-31
5,간편해서 좋네요,2024-10-31
5,좋아요,2024-10-31
3,그냥,2024-10-31
5,편해요,2024-10-31
5,빠른 예약 좋아요,2024-10-31
1,사업자 지출증빙으로 현금영수증 발급하면 모바일화면보다 크게나와서 스크린샷 찍을수가 없음. 경쟁 업체는 깔끔하게 나오는데...,2024-10-31
5,굿굿,2024-10-31
3,왜 항상 최근앱 눌러보면 야놀자가 켜져있는지 모르겠네요 킨적도 없는데 왜 최근앱 눌러보면 야놀자가 있는거죠 ?,2024-10-31
5,사용하기 편하요,2024-10-30
5,늘 감사해요,2024-10-30
5,아주만족스럽습니다,2024-10-30
5,편리하고 좋아요,2024-10-30
5,좋아요~,2024-10-30
5,좋아요,2024-10-30
5,사용하기 편리해서 좋아요,2024-10-30
5,쿠폰을 예약시마다 제공 저렴해서 너무 좋아요,2024-10-30
5,좋아요,2024-10-29
4,정보가유익합니다,2024-10-29
5,편해요,2024-10-29
5,간편하게 빠르게 예약가능하네요,2024-10-29
5,사용하고 다시작성할께요 내일 출장,2024-10-29
2,"야놀자 내 리뷰작성 시 코인이 보여지고 사용도 가능하려면 라는 앱 설치와 가입, 그리고 야놀자 내에서 연동과정까지 복잡하게 해야되네요. 그 야놀자 내 연동과정에서 [필수]개인정보 3자 제공 항목은 USIM칩이 장착되지 않은 서브폰으로 접속 시 방화벽 미설정 문제인지로 인해 오류화면으로 나와 내용 확인이 되지도 않고, 밀크 앱은 별점3점으로 이용도 편하지만은 않을것 같아 내키지 않네요. 야놀자 내에 자체 적립금 시스템이면 좋으련만, 왜 개인정보 제공에 민감한 현시대에 그렇게 제3자제공까지 하면서 이용해야되게 불편하게 만들어놓았는지 모르겠네요. 전화상담을 해도 이 부분을 해결하지 못 했어요. 해당 [필수]개인정보 3자 제공 본문만 메일로 따로 보내주시는 거라도 어려운 일이 아닐텐데 왜 그것마저 불가하다고 담당 부서에서 답변을 줬다는건지 이해가 되질 않네요. 이용자의 편의를 위해 더 원활한 방법들을 제공해주시길 바랍니다.",2024-10-29
5,친절함 최고입니다 주차시설 좋고요,2024-10-29
1,그냥 결제가 안됨,2024-10-29
5,좋아요 편해요,2024-10-29
4,좋아요,2024-10-29
5,빠른 예약이 좋아요.^^,2024-10-29
5,편리하고 좋아요,2024-10-29
5,굿,2024-10-28
5,좋음,2024-10-28
5,너무좋아요,2024-10-28
1,전세사기 다들 아시죠? 중개사는 책임 없고 수수료만 가저가는 시스템이요 그대로입니다. 그냥 중계만 해주고 문제생기니 나몰라라 ㅋㅋ 객실내 방충망이 없어 호텔에 문의하니 방충망보수공사중이라 없다? 그래서 환불해달라하니 그건안된다 모기약 뿌려라 하길래 어쩔수없이 그날은 묵고 담날 야놀자에 문의하니 이미 입실했고 하루묵엇으니 자기들도 뭐 아무책임없고 호텔에직접 연락해서 해결하라 이런식으로 떠넘기거라고요 진짜 최악의 어플이네요 전세사기랑 뭐가다릅니까 중개만하고 수수료만 받아가고 ㅋㅋ,2024-10-28
5,자주애용합니다,2024-10-28
1,아 여기가 그 개같은 고객센터 그 앱이야?ㅋㅋㅋ,2024-10-28
4,각편하게 찾아보고 예약하기 좋아요^^다만 실제랑 다를때도 있는것 같아서 별 하나 뺐어요,2024-10-28
5,편해요,2024-10-28
5,좋아요,2024-10-28
4,할인이 많이되어 좋습니당.,2024-10-28
5,편해요,2024-10-27
1,그냥 쓰지마라 규정이라고 절대 환불 안된다고만하고 말장난하는것도 아니고,2024-10-27
4,야근하고 잘 곳이 찾을때,2024-10-27
5,좋음,2024-10-27
5,좋아요,2024-10-27
4,편리합니다,2024-10-27
1,ㅣㅡ니느ㅡㅡ드ㅡ든드ㅡ늘드느드드드드ㅡ드듵ㅇㅇㅇ,2024-10-27
5,좋아요,2024-10-27
5,다른앱보다 저렴하네요,2024-10-27
5,좋아요,2024-10-27
5,굿굿굿,2024-10-26
5,굿,2024-10-26
5,좋아묘,2024-10-26
5,다른곳보다 저렴하게 방을 구매할수있어요,2024-10-26
1,ㅋㅋㅋ 유툽 썰보고 왔는데 진짜 가관이네 ㅋㅋㅋ 100%환불은 무슨 ㅋㅋ 중복예약 때문에 휴가 망치고 35원 환불 받으신 그분은 진짜 너무 안쓰럽습니다 야놀자 망해라~ 야놀자 엄뒤! 야놀자 보잡째!,2024-10-26
5,숙소 정보 굿. 리뷰 참고 굿. 여행전 꼭 ^^,2024-10-26
5,좋아요,2024-10-26
4,편리함을 열어주니 꼭 있어야 될 듯 랍니다^^,2024-10-26
5,깨끗하고사장님이친절하십니다,2024-10-26
5,빠른결제 조아요,2024-10-25
5,놀러 갈땐 야! 놀자!,2024-10-25
5,신뢰하고 아주 좋은 선택,2024-10-25
5,최고네요,2024-10-25
5,할인쿠폰이많음,2024-10-25
4,포인트주는 이벤트도 많고 검색하기 좋아요,2024-10-25
5,일찍예약하면 할인,2024-10-25
4,한번에 다 봐서 좋아요.,2024-10-25
5,알기쉽고 쉽게 예약 가능해서 좋아요,2024-10-24
5,가족여행이 기대되요,2024-10-24
5,조아용 조아용 조아요,2024-10-24
5,좋아요 아주,2024-10-24
5,좋아요,2024-10-24
5,좋아요,2024-10-24
5,가격싸고 위치잘찾을수 있어 좋네요.,2024-10-24
5,굿,2024-10-24
5,조아,2024-10-23
4,숙소하면 야!놀자!,2024-10-23
5,할인도많고 필요한 펜션은 꼭야놀자에서 예약해서 좋은가격에 다녀오세요,2024-10-23
5,좋아요,2024-10-23
5,따봉,2024-10-23
5,굿굿,2024-10-23
5,잘쓰고 있어용,2024-10-23
5,좋아요,2024-10-23
5,편해요,2024-10-23
5,좋은 가격에 이용할 수 있어서 좋습니다. 번창하세요~,2024-10-23
5,빠르고 편리해서 좋음,2024-10-23
5,좋아요,2024-10-23
5,여기**보다 쿠폰 쓰는게 편리함. 가격도 더 저렴해서 좋음~,2024-10-23
5,다양한 혜택 및 편리항,2024-10-23
5,굿,2024-10-23
1,절대 이용하지 마세요 숙박업소 제대로 관리 하지 않습니다 (금연실이라고 해서 예약을 했는데 담배찌던 냄새 등으로 인해 환불 요청했으나 처리되지도 않고 야놀자에서는 조치를 취하지 않네요),2024-10-23
5,빠른처리 좋아요,2024-10-23
5,혜택이 많고 저렴해요,2024-10-23
5,편리하게 간단하게 쉽게...,2024-10-22
5,편리하고 좋아요,2024-10-22
5,항상 야놀자 앱을 이용할 정도로 편리하고 좋아요 여행을 고민하는 분들에게 강추합니다,2024-10-22
5,다양한 호텔정보를 제공하여 여행시 편리하게 이용할 수 있어서 좋아요~^^,2024-10-22
5,"깨끗하고, 조용하고, 좋아요.",2024-10-22
5,편해요,2024-10-22
5,사용하기 편하고 할인 혜택이 좋아요,2024-10-22
